gvkey,splticrm,datadate,city,conml,gsector,gsubind,idbflag,sic,spcindcd,state,conm,tic,cusip
001045,D,310113,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,280213,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,310313,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,300413,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,310513,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,300613,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,310713,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,310813,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,300913,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,311013,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,D,301113,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,311213,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,310114,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,280214,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,310314,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,300414,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,310514,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,300614,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,310714,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,310814,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,300914,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B,311014,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,301114,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,311214,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,310115,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,280215,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
001045,B+,310315,Fort Worth,American Airlines Group Inc,20,20302010,B,4512,605,TX,AMERICAN AIRLINES GROUP INC,AAL,02376R102
